id;app_stack_name;app_project_id;project_name;app_stack_order;entrance_service_id;app_stack_type;del_flag;create_by_id;create_by_name;create_time;last_modifier_id;last_modifier_name;last_modify_time
1;middleware Barbados Dollar;95292;Identity Checking Account Berk;72516;89228;97438;2822;JSON Metal Handmade;Balanced facilitate;2021-01-06T20:18:38;FTP;Global;2021-01-06T21:38:43
2;Credit Card Account;6087;metrics architecture;33604;57687;5984;10108;Tanzanian Shilling definition;Intelligent Steel Chips;2021-01-06T18:15:27;Investment Account hacking;pink parse;2021-01-07T01:59:35
3;Delaware;15440;extend partnerships;63777;15835;57630;68006;engineer Ergonomic Oklahoma;bandwidth bypassing Indiana;2021-01-06T05:10:32;1080p reinvent;infrastructure robust Hawaii;2021-01-06T23:35:50
4;Checking Account;34032;TCP Bermuda;85172;21278;34051;75848;SCSI Gorgeous Frozen Chicken JSON;Ergonomic unleash;2021-01-06T06:58:00;Cayman Islands bluetooth;Avon;2021-01-06T17:52:52
5;Pants Haven;44377;Baby;55976;28514;72321;25788;facilitate Facilitator metrics;Savings Account Coordinator;2021-01-06T17:22:50;synergistic Oval;generating;2021-01-06T13:42:08
6;Money Market Account Concrete ;30108;streamline Hat;58251;26747;26397;81474;AI overriding;firewall;2021-01-06T16:11:00;Soft Wyoming;Regional Falls;2021-01-06T23:31:52
7;Buckinghamshire circuit morph;42433;JSON gold;26165;54474;41289;69442;bypassing Knoll Program;Salad interface;2021-01-06T15:10:43;open system expedite;calculate Plastic Comoro Franc;2021-01-06T22:22:02
8;Small Wooden Chair;54228;card;35002;16844;18297;47464;impactful;withdrawal;2021-01-06T21:02:07;holistic Executive Tuna;Stream Rubber platforms;2021-01-06T12:26:23
9;Kids Rand Loti;74782;challenge Handmade Cotton Pizz;14680;9506;50876;93288;El Salvador payment didactic;CFA Franc BEAC;2021-01-07T00:43:20;Jewelery;feed Handmade Cotton Soap Response;2021-01-06T10:18:50
10;navigate proactive backing up;94446;Incredible Steel Car moratoriu;67249;92381;55087;72131;invoice sexy;tan Sleek Frozen;2021-01-06T19:32:36;empowering Garden;Investment Account Focused;2021-01-06T18:39:41
