id;app_stack_id;service_name;service_name_zh;service_describe;service_type;guid;git_company;git_url;repository_name;package_name_suffix;service_oder;company_id;service_provider;remark;del_flag;create_by_id;create_by_name;create_time;last_modifier_id;last_modifier_name;last_modify_time
1;53558;value-added;GB optimal fuchsia;overriding Chair Granite;24473;navigating program West Virginia;Croatian Kuna Digitized Intuitive;background Cambridgeshire generate;Awesome;Orchestrator;58136;withdrawal;benchmark Grocery indexing;Tasty Rubber Shirt Borders card;5891;payment bandwidth;back-end invoice;2021-01-06T18:55:28;Montenegro Investment Account;Corporate dot-com;2021-01-06T09:27:02
2;76583;FTP withdrawal;harness;Cotton auxiliary;73058;withdrawal synthesize Forward;Tanzanian Shilling;Buckinghamshire;mesh auxiliary;Kentucky quantifying harness;79635;HTTP;users Analyst;Ergonomic Cotton Table;11505;Buckinghamshire;virtual application Executive;2021-01-06T04:55:02;Decentralized Interactions;Accounts e-business Refined Cotton Car;2021-01-06T08:25:51
3;51691;Beauty e-business El Salvador;Ball neural;azure high-level connecting;14895;Practical Steel Bacon Implementation;United States Minor Outlying Islands withdrawal;Licensed Plastic Keyboard Dynamic;West Virginia strategize;International;95667;zero tolerance Home;compress Movies payment;optical;51217;24/7 indexing Alabama;New Caledonia Corporate pink;2021-01-06T20:24:53;Handmade Plastic Computer Gourde US Doll;Granite;2021-01-06T17:02:06
4;22711;Bulgarian Lev Licensed Frozen ;Seychelles auxiliary Tasty Pla;Clothing;11329;scalable interface Interactions;Tools;hub;application Future;bypassing Virgin Islands, British withdr;80860;interactive Berkshire;primary;Handmade Senior;81902;Applications Kids bluetooth;eyeballs Australian Dollar Savings Accou;2021-01-06T06:38:16;quantifying Barbados quantifying;GB Bedfordshire;2021-01-07T02:24:53
5;57023;cross-platform Checking Accoun;virtual;Shoes Oman;29808;Metal;Stravenue Awesome Steel Chair;Strategist North Carolina connect;back-end Metal Mission;Georgia;99377;generate;deposit;synthesizing;65733;Fresh Customizable Liaison;multi-byte moratorium;2021-01-06T03:50:42;Implementation;Licensed Internal;2021-01-06T11:55:55
6;38182;Dynamic;Argentine Peso Monaco parsing;protocol;73369;invoice XML Granite;Licensed mobile Developer;index;input tan;index;59405;Brooks Games Yemeni Rial;Directives maximized Home;Indian Rupee Ngultrum;79922;Mauritius Rupee monitoring;matrices Netherlands Antillian Guilder s;2021-01-06T23:09:04;deliver;Small Organized multi-byte;2021-01-06T09:52:01
7;36988;Generic Bedfordshire;Dong engineer Bike;Clothing;3921;Kiribati USB auxiliary;Bedfordshire;Sleek multimedia indexing;Salad;Ergonomic open system Music;4108;leading-edge;payment;web-readiness;77619;Cambridgeshire;Cambridgeshire Fresh;2021-01-06T05:08:38;purple;navigating;2021-01-06T05:59:57
8;42970;Harbors;Assistant grow;Personal Loan Account;48418;Berkshire middleware Rubber;digital Canyon;yellow driver;alarm withdrawal;Tasty;36291;sky blue;sticky;firewall Credit Card Account reintermediate;42157;web-readiness functionalities Strategist;wireless;2021-01-06T08:21:25;Integration;South Dakota black parsing;2021-01-07T00:50:53
9;71743;Handcrafted Fresh Salad redefi;Shirt Tasty;Buckinghamshire;67035;Multi-layered Incredible;Isle Forward;Marketing;tan deposit Central;virtual Credit Card Account;18138;hacking Fish;invoice;Rustic Granite Table Incredible grey;25737;Customer;Plastic;2021-01-06T04:24:43;systemic;SCSI Applications;2021-01-07T02:04:08
10;98045;Utah;Movies;cyan Concrete Grass-roots;26503;Home Loan Account motivating asymmetric;grey Fantastic Soft Hat;Rupiah;engage Investment Account;Cape Cheese Tasty Metal Table;49055;Infrastructure;Technician complexity content;purple;74388;Rubber Cheese applications;Metrics Program bottom-line;2021-01-06T21:58:18;Regional Kansas Rustic Steel Hat;Illinois;2021-01-06T21:30:51
